pair_id,type,text_a,text_b,similarity_score,sources,notes,category
9ec6af4a-dca3-46f0-9486-b1a70454c42d,synonym,里热炽盛证,实热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
7266d459-b268-4d04-95c9-e4587aeb3f27,synonym,表里实热证,表里俱热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
29688c0d-a1ee-471b-850b-75f6cd4e6034,synonym,真热假寒证,假寒真热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
0cf34a0f-ecc2-4efb-8bd8-be280144b8a1,synonym,真热假寒证,热厥证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
3bc4f833-fec9-4ba2-bcd7-547d2e9abfc5,synonym,真热假寒证,阳盛格阴证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
ad953ea0-ad25-4f9e-a8b6-43fb39d464dc,synonym,假寒真热证,热厥证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
9638af4e-7bca-46e0-b022-4d56248ec539,synonym,假寒真热证,阳盛格阴证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
b012afe9-4362-4555-bf1e-c3d2df97baad,synonym,热厥证,阳盛格阴证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
888948ee-db3b-4ed5-aa2c-5bed51b75ad6,synonym,虚寒证,里虚寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
39cbd739-805a-4747-a95f-a80418c0d774,synonym,虚寒证,脏腑虚寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a35a115a-0aea-4a1d-8b42-1914f25290eb,synonym,虚寒证,脏腑虚冷证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a6a80b76-c9e1-4613-896d-f22b2f2a3681,synonym,里虚寒证,脏腑虚寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
19e96c38-01a8-473f-8eb0-ae366060cd7d,synonym,里虚寒证,脏腑虚冷证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
d870ffea-c0bd-481e-b7d7-3d30764bdca9,synonym,脏腑虚寒证,脏腑虚冷证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
0250e951-b9ad-4946-9aa1-a4da244b98a4,synonym,虚实夹杂证,虚实错杂证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
85930735-5c17-4354-8b30-137af0e9fded,synonym,上实下虚证,上盛下虚证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
ebb0d510-46d8-4177-8804-1dd17cb2d2f0,synonym,寒热错杂证,寒热夹杂证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
8715f0e9-3c64-48f2-a54f-91fb827b88ef,synonym,表寒里热证,表寒内热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
34a975e0-4ad0-4ecb-a6d5-f48cca5ef3cd,synonym,表寒肺热证,外寒肺热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
1c12c1c7-723a-4d7e-9d87-347992664f8b,synonym,表寒肺热证,肺热表寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
4ae64805-1431-47b0-b853-164712d62434,synonym,外寒肺热证,肺热表寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
9c3337d9-a0c6-4cf7-a6d6-ce520fc696ad,synonym,外寒里热证,外寒内热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a9655508-e17f-48d1-9fa5-e7b5ff0fda15,synonym,外寒里热证,客寒包火证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
14f33beb-7cd1-4803-944a-06a4722455dc,synonym,外寒内热证,客寒包火证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
724caf83-ce5d-4a26-a915-9f177d1e826b,synonym,外热里寒证,外热内寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
d261aa9b-e615-4297-bda3-5c9138cc1f8e,synonym,上热下寒证,下寒上热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
7de353ca-882c-40ad-aad6-11103ea158a4,synonym,上寒下热证,下热上寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
bcbdeaf7-8c0f-476f-a63b-b2fbb36de816,synonym,邪郁化热证,邪郁化火证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
e34b1919-f2d6-4ca8-a0b8-42d5f39b8896,synonym,邪气闭阻证,邪气阻闭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
0cdf6143-7aaa-459c-a0d5-b29c4e1e3057,synonym,余邪未尽证,余邪留恋证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
dae5acbc-929b-43e9-b671-42f6a9169e73,synonym,余热未清证,余热未尽证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
c9c024a4-4951-4b6a-89f3-565aff8ec447,synonym,正虚邪恋证,正虚邪留证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
8a47a820-8d7f-41f8-a887-6d6f1ce2fd94,synonym,邪留阴分证,邪伏阴分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
828a5cb5-3089-4f5f-9c6e-04028d0c612b,synonym,邪袭卫表证,邪郁卫表证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
e94eb1d7-f87c-4ddc-9e91-c6e36d2b4d86,synonym,邪袭卫表证,邪在卫分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
8f3ad9e5-bde7-48cb-b875-ac082762fbfd,synonym,邪袭卫表证,邪遏卫气证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
85086ecb-1dd1-4bde-aecc-364ef8fdf1bf,synonym,邪郁卫表证,邪在卫分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
8beec656-8a05-41a4-b98f-a9f3ae3d0043,synonym,邪郁卫表证,邪遏卫气证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
4ee336db-66b9-4ed3-8d19-23e6852742bd,synonym,邪在卫分证,邪遏卫气证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
fbffef97-d37a-4a58-aacb-76e83ba0eafc,synonym,邪伏膜原证,邪阻膜原证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
8901a3e6-78f8-4b04-8d2f-d9c8f430a39e,synonym,少腹血瘀证,少腹瘀滞证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
74fe9414-ead4-4bb9-8c67-1009c2807e66,synonym,邪在肺卫证,邪入肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
067f3c10-f7bc-4278-80e7-3c3805de2c00,synonym,邪在肺卫证,邪袭肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
09619656-142a-4ecf-9e08-3ec7270c0d8d,synonym,邪在肺卫证,邪侵肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
958a997a-8b60-4ac1-94b6-8bd013111c34,synonym,邪在肺卫证,邪郁肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
3f9a0c62-151d-4451-b554-d2ac42d77590,synonym,邪在肺卫证,邪伤肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a49a8bef-8ddf-4d12-b1d8-a32e25745347,synonym,邪入肺卫证,邪袭肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
ff002d1c-3da4-405d-971a-1328b09104b6,synonym,邪入肺卫证,邪侵肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
47923b62-7670-4407-992b-33a3bd0045b0,synonym,邪入肺卫证,邪郁肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
b2a4dad5-7793-4bb4-a017-1f9b88e6f2cc,synonym,邪入肺卫证,邪伤肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
da876694-b060-4120-a9fd-437cd332dad6,synonym,邪袭肺卫证,邪侵肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
23c402ea-a221-4b51-9cf1-2cf438b71cef,synonym,邪袭肺卫证,邪郁肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
a79576b8-99a0-4b48-a7bf-2b63cb77ad48,synonym,邪袭肺卫证,邪伤肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
89233011-4be6-4311-ac70-04dd53b28f65,synonym,邪侵肺卫证,邪郁肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
f627c997-870e-4a08-a259-8480ae96d15c,synonym,邪侵肺卫证,邪伤肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
a2529c33-9ddf-4f3a-a3ce-ca7a53586fc5,synonym,邪郁肺卫证,邪伤肺卫证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
843b1a66-f8a9-46e4-9ff1-a432866a0f6c,synonym,邪在气分证,邪入气分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
40baf875-5fc9-4c19-ab98-62c3387d7484,synonym,邪在气营证,邪入气营证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
b7e04dcb-7be8-40e9-8eb6-0ed7a9ef1c77,synonym,邪在营分证,邪入营分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
d17af082-f792-422c-9439-282a10423e6b,synonym,邪在营血证,邪入营血证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
18693b27-3fd7-4942-af4c-d1677b74dde5,synonym,邪在营血证,营血同病证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
bdb1c381-caad-4729-a2c6-b8e317577550,synonym,邪入营血证,营血同病证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
f6efeab1-511f-4042-a37f-a3947e675652,synonym,邪在血分证,邪入血分证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
d184ba9a-8950-4f59-802e-214bd2628a88,synonym,邪闭经络证,经络闭阻证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
d040196e-0576-4a8f-bccf-8f809a980d13,synonym,邪犯脏腑证,邪入脏腑证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
47e26532-2241-4630-9c7f-a3187ed3eed0,synonym,邪犯肺胃证,邪入肺胃证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
919181fa-89b4-4b52-bc41-6eef3f5874a6,synonym,邪犯肺胃证,邪郁肺胃证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
98c6422f-d90a-4b50-8017-3d9cf9066760,synonym,邪入肺胃证,邪郁肺胃证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
7b303fd6-c8e2-4fd6-b936-e2f578f63d1b,synonym,邪陷心包证,邪入心包证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a66c17ea-ce8b-4725-b38f-92029afaecb7,synonym,邪陷心肝证,邪犯心肝证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
59b6c9a1-cadb-4f1d-83da-d25bb15d15ec,synonym,风证类,风邪偏盛证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
cb3dc79d-1a97-4e82-aafc-f5650f4863b1,synonym,风邪外袭证,风邪外侵证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
84009ef4-6127-4f28-a30a-1d44e215b357,synonym,风邪外袭证,风邪乘袭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
fe0eac77-ff79-4b40-a2bd-e3659e73b045,synonym,风邪外袭证,风邪侵袭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
e60d5105-aff7-4b2e-a84d-541d4b7eb827,synonym,风邪外袭证,外感风邪证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
6f289b9e-5e38-4876-882f-dd267dc9e084,synonym,风邪外侵证,风邪乘袭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
c4fc7865-ea42-4cf0-ad66-a61f1a22d12e,synonym,风邪外侵证,风邪侵袭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
09d45b56-d165-4300-be44-2262717f260c,synonym,风邪外侵证,外感风邪证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
30b2cca8-74e3-41ac-b3fd-df6e8f5579b6,synonym,风邪乘袭证,风邪侵袭证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
c8e2d4fd-c1a8-4fde-bc72-294c0b683ac3,synonym,风邪乘袭证,外感风邪证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
87160c88-6ece-4d4a-a0b9-65b78772de79,synonym,风邪侵袭证,外感风邪证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,别名间同义映射,证候/病机
f8539a19-0fef-46ca-8f61-05402bd3dc97,synonym,风邪袭表证,风邪犯表证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
5fb04415-0f8b-44af-a681-e7397adbfcbb,synonym,风盛历节证,风胜行痹证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
2936f3f5-e0f7-4624-91f6-e731b0ef20a7,synonym,风邪犯目证,风邪犯眼证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
6ceaa64d-6be1-4729-910d-3d27db737965,synonym,风邪犯口证,风邪犯唇证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a9079d35-d805-4f86-97b2-3d98143e5b2f,synonym,风邪犯舌证,风邪入舌证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
51962369-3eb3-49b3-b0ff-79ad9251944c,synonym,风邪入中证,外中风证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
a0d152ea-e16d-4586-b6ab-c6a5a97a31b3,synonym,风邪中经证,风中经络证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
